class	tweet
1	@JiverGrayn Без твоей воли тебя ни к кому не отправят. Не могут просто, пока ты с ножом на людей кидаться не начнёшь.  Я два месяца на флуоксетине, и из меня не сделал. Он относительно новый, возможно, пофиксили старую версию лекарства. Из побочек: мёртвое либидо и сниженный аппетит. Всё.
1	позавчера моя психиаторка сказала что от моих лекарств может быть запор а я такой ЧЁ САФРИС НЕ ТОЛЬКО ВЫГЛЯДИТ КАК ИМОДИУМ НО И ДЕЙСТВУЕТ?))
0	Блять ну у неё оттуда и пошли все эти её кгб ддт хуй знает че что она ксанакс с аддеролом мешает
0	А неплохой бизнес могла бы замутить на флуоксетине
1	Мне флуоксетин и близко не помог
0	ксанаксом поделись, дядь! я заплачу)
1	Паксил. Это антидепрессанты. Считаются вроде как лёгкими, но приход от них хороший. Вызывают абсолютное чувство похуизма совершенно на всё. У меня подруга на них сидела после развода, а я периодически стреляла у неё, когда совсем херово было.
1	Блять. Ксанакс и рогипнол закончились, не могу уснуть даже под блистером феназепама, мда
0	Начала говорить с Настей про баклофен - не получилось. Начала говорить про баклофен с парнем - поддержал разговор, сказал где взять. Лю его
0	@kanonkouka Я запоминаю только упоротые ассоциации😂 Ламотриджин - противоэпилептический препарат (Лама с 3G в судорогах)😅😂
0	Левотироксин - это т4, а нужен ещё т3 (трийодтиронин), который не продаётся. Конверсия из т4 в т3 у больных гипотериозом как раз нарушена.
0	бахнул этого флуоксетина зашлифовал тёмным пивом и сразу так хорошо и жизнь прекрасна и успех пришёл
0	я опять закидалась прозаком, теперь ещё и баралгином.
1	У меня от метформина такие газы что я весь спортзал пропердел :(
0	У тебя ошибка это Оксикодон
0	Надо купить себе пароксетин, чтоб взвыть от побочек и забыть о депрессии)
0	Съешь пару табл прегабалина, как рукой снимет
0	Кажется я тот человек из за которого все мои друзья что то принимают вместе со мной : -Эзомепразол 2 раза в день до еды по 40 мг -Улькавис 2 раза в день по 2 таблетки  -Ранитидин по 2 таблетки на ночь  -Фосфолюгель по 1 пакету 3 раза в день -Актовегин в вену 1 раз в день
1	Это даже не нервная система, это уже психика будет задействована( Однажды мне прописали сибутрамин, который Лорик пила - я чуть не сдохла в первые же три дня, были дикие головные боли( А Лорик вон прекрасно переносила, правда, её причина в другом
1	Длительный прием антидиабетического препарата может привести к увеличению сахара в крови Антидиабетический препарат лираглутид является инкр
1	Вроде всего второй день ламиктала, а тот же второй день не штормит. Может самовнушение? При этом же будто само благорасположение. Нет я не могу сказать, что мне хорошо. Скорее я пропускаю мир сквозь себя с улыбкой.
0	@IpanemaGirl3 да, водить противопоказано. особенно, если их в солидных дозах разово потреблять, от 300 мг прегабалина твои мозги покажутся тебе сгустком желе.
0	600 мг прегабалина, 05 пива, 150 грамм хорошего виски, шишки, сон.
0	@_NESTEROVICH я ж сказала паксил хуета
0	Мне сейчас очень хуево Настолько хуево что я готова передознутся ксанаксом
1	Учитывая то, что мне назначили сероквель, с которого любую анобабащку распидорасит, имеет смысл вернуться к ведению дневника жранины.  К слову, с колес я выспалась как никогда, просто все дерьмо из этих семи часов выспала.
0	@Rotiferko не все прознали, видимо, за лоперамид, я не помню ни разу, шоб наркоши брали его пачками прям. а на "крокошу" и пенталгин с кодтерпином пойдут, первый пропал, кстати, щас куда-то. обычно, кто в курсе, тот пиколакс покупает, наоборот, когда на кумарах сидит, ибо совсем хуёво всё.
0	Поця мамина! Признай,что озельтамивир входит в протоколы лечения гриппа в Украине и во всём Мире. Свои убеждения и политику, засунь себе подальше в ректум. И будь добр, выполняй протокол леченияи профилактики! До тех пор, пока не откроют что-нибудь более действенное.
1	Во первых надо исключить нагрузку недели на 2, пропить противовоспалительные, если финансы позволяют лучше коксибы, наружные нпвс мази, физиопроцедуры делов-то? Ну и миорелаксанты, миловали или баклосан, с последним аккуратнее, говорят может давление завалить
0	Вот на ксанаксе торчать тупо мода, а героин — это бессмертная классика)
0	Привет, вечерний. С месяц тому назад лечащий психиатр прописала мне "селектру" Ад, но так как он не подошел решили его поменять. Сегодня выписали новый антидепрессант под названием "Рексетин" Кто его пил, рассказывайте, как всё прошло?
0	Ура! &lt;зачеркнуто&gt;через баклофен начинает ощущаться трава&lt;/зачеркнуто&gt; через гадскую псевдогриппозную хрень начинает ощущаться алкоголь
0	Слушатт платину как кушать ксанакс
0	Я была твоим фанатом и до флуоксетина
1	@InnaShidlovskay смпаю после флуоксетина только больше есть хотелось. + он вроде усиливает суицидомысли и тревогу
0	Попробуй флуоксетин(прозак) их можно без рецепта найти
1	Я бы накачалась флуоксетином, но от него не только нервы отключаются, но и мозги. А мне этого сейчас не надо.
1	Это флувоксамин! Другой препарат и стоит в десять раз больше флуоксетина :( Я сама думала, что вот Грандаксин мне не нужен, потому что ПА у меня прошли, но врачиня сказала принимать. Возможно, у меня и правда тревожность, просто я уже не замечаю, что можно по-другому.
0	А можно лучше корвитол, стресском и тенотен? Эти колёса уже проверенные
0	А не поможет ципрофлоксацин тут, Оль.
0	хочу прописку и к психиатру, шоб объяснить ей максимально популярно, что без прозака я сдохну.
0	Мне не диагностируют, а метформин выписывали
0	Сука, ебаные бомжи. Работать идите, блять. Только торчать и попрошайничать могут. Хуесосы унылые. Ксанаксом клизму поставь и иди спать, уёбок.
0	Душа требует водки и прозака
0	@Albanian_doctor Это так и есть, аденоиды надо удалять, но как выйти из острого периода бля. Обструкция ничего жить можно, он с полугода знаком с беродуалом и пульмикортом, а вот аденоиды 👊🏻👊🏻👊🏻👊🏻👊🏻👊🏻👊🏻👊🏻👊🏻
0	поставила бы себе 5/10 но это потому что считаю что с ламотриджином можно было бы быть и поуспешнее(
0	таблетка флуоксетина, три таблетки бесполезного афобазола, пять таблеток валерианы, две таблетки корвалола Я ДЕЙСТВУЮ НАВЕРНЯКА, ДА?
0	"ты дерьмово фотографируешь", "ты стихи под баклофеном писала?", "куда мне ткнуть, чтобы не попасть в твоего бывшего"
0	О , а как пахнут твои волосы флуоксетином и концентрированным фенобарбиталом
0	Так же отдельная благодарность создателю прозака, имя которого мне лень гуглить
1	БЛЯ сейчас у подруги на балконе встретила упаковку флуоксетина, первая мысль: сцапать 2 шт, чтоб не видно было. когда она вернулась, сказала ей, и она убрала. по чувствам беспомощность, злость, грусть, разочарование, бессилие
1	@25igonino4ka @OdessaTatiana Это вы зря. Итог талидомида это 40.000 родившихся детей без рук и ног.  А реклама впаривала, как он полезен. Точно тоже с вакцинами.
0	Беталок ЗОК - это лекарство от гипертонии, ишемической болезни сердца
0	Видео "Вентолин (Сальбутомол) совет астматикам если закончился баллон"
0	Сожрала Кветиапин час назад и планирую уснуть ВОВРЕМЯ!   Сосать хейтеры, мамаша будет спать
0	Я больше у @stolen_mojo интересовался, прям очень похоже на неулептил) От кветиапина такого не было.
0	помню мы так с парнями лет 15 назад выбирали о чем написать песню для группы, в итоге я написал песню с припевом "Венлафаксин — это яд, Венлафаксин — это смерть", а потом через несколько лет мне его выписали в больничке)
0	ну есть разница между "в город с населением 2000 человек завезли 10 миллионов таблеток оксикодона" и "провизора аптеки посадили за продажу нурофена без рецепта"
1	Эй, но ведь велаксин классный. Ну если не учитывать, что от него страшно тошнит и это худший синдром отмены, ну а так он няшечка
0	Не смогла вылезти без лекарств.. Назначили таваник, от побочки волосы встают дыбом..
0	А в чём проблема справки нашим лыжникам выписать, что они астматики? Ну чтобы кленбутерол с сальбутамолом могли легально принимать.
1	Зачем мне LSD если можно пожрать тразодона и глючить сколько душеньке угодно
0	@Smokingmyself я на прозаке. Мне похую
0	Тамифлю от гриппа, причем , если не ошибаюсь, птичьего. А у вас точно грипп? Может, простудились просто? В любом случае, витамин С создает барьер вирусам, ну и настрой у вас правильный! Ну ее, эту болезнь!
0	кветиапин? ето такой атипичный нейролептик
0	@Danya_Schizik Я как-то чуть элементарный ципрофлоксацин в дженерике не купила за 40р/7таблеток
0	Дали навистина постои разлика помеѓу хероин и бупренорфин ???
0	я походу упал в котёл с прозаком
0	В Канаде во время хоккея рекламируют audi r8, у нас сеалекс. Вот и вся разница.
0	Катюш, единоразово 4 таблетки римантадина +1-2(в зависимости от тяжести случая) таблетки ципролета. Сразу становится заметно лучше. следующие дни 1 т ципролета, 2 римантадина,около 5 дней. Горло полоскать раствор Оки,прыскать каметоном, жевать красный граммидин)ну и нос капать
0	У меня всегда в сумке цитрамон и лоперамид)
0	Лен, в интернете пишут, что у нас есть в продаже аналог Кветиапин
0	Играют плохо, потому что рекламы сеалекса больше нет.
0	надо кому-нибудь?  на диазепам цена такая же как и на алпразолам
1	Противозачатные пить опасно, там этинилэстрадиол который в крови долго держится и загущает кровь. Ни один эндокринолог не порекомендует их пить
0	Я бешеный человек, весь день болел живот и я выпил имодиум, перепутав его действия.
0	&gt;общаешься с мужчинами 26+ &gt;через раз шутишь про сеалекс
0	Один из худших дней в году.Мигрень,море пиздеца,полинявшие красные волосы на белую рубашку,вся насквозь мокрая от ливня,знакомая сказала я жирная и беременная.Психиатра перенесли на почти месяц.Прозак дадут тоже только к концу мая.
1	Ребятки, мне реально страшно. Похоже я попал на новую побочку прозака - я всерьез думаю перейти на винду. Пиздец. Всего лишь второй день сидения в kdenlive, а я уже на грани безумных решений. Очень надеюсь, что к утру попустит.
0	Никогда не знаешь, рецепт на что потребуют в этой аптеке. Иногда всё гладко, ничего не просят. Иногда показываю московский на флуоксетин, сейчас на ламиктал попросили. Я такая: а я вам отдала. Нашли в архивах летний, трёхдневной действительности.
1	Лучший завтрак - это кофе и пара капсул флуоксетина:3 и все сразу так хорошо, хочется горы сворачивать!
0	Дорогой он жутко. Есть копеечный Варфарин, эффект такой же но с ним врачу заморачиваться надо, подбирать дозу под контролем МНО,затем наблюдать и регулярно делать этот анализ. С ксарелто проще, пей и никакого контроля. Удобно, но дорого.
0	Почаще бы планерка, парк и хорошая погода пересекались в одной плоскости.  Всё-таки до чего же хороша жизнь на сибутрамине: приехал в город и не сдох на выходе из метро.
1	Я начинаю процедуру выползания из дома. Флуоксетин закончился, а без него такой откат будет, что вообще в овощ превращусь.
0	Жидкость для вейпа со вкусом сальбутамола.
1	баклофен с алкоголем и вот я: счастливый, весёлый и сильный, по направлению вверх пытаюсь ползти, пытаюсь бежать #мальвинафолловиткотанов
0	Прикидываем с ребятами как устроить шоп-тур по европейским аптекам с ксанаксом и как это ввозить в рф душевно пиздец
1	Я который день в ломке от пароксетина и не хожу на пары Хех
0	Жизнь штука сложная и непредсказуемая, лоперамид должен быть по рукой
0	@dimsmirnov175 @kpru сколько умерло россиян от эпидемии гриппа при отсутствии Тамифлю в продаже.
1	Приём прозака может вызывать попытки суицида
0	Крестор 10 мг 98 таблеток стоит примерно 4368. Это потому, что Компания Астра Зенека снизила цены в России, отменив систему лояльности по картам здоровья. А так он стоил бы 7 тысяч.
1	Моя мама полгода пила флуоксетин, назначенный неврологом (в России неврологи имеют право выписывать психоактивные препараты) и была вполне несчастлива. Личный опыт - дело такое. Ошибка выжившего, все дела. Есть официальные исследования и доказательная медицина.
0	рекомендую добавить венлафаксин. тебя очень порадует
0	О дарницом даже не слышала. После операции год был на Л тироксин,потом перешёл на эутирокс.
0	Когда ваш ребёнок начал баловаться флуоксетином.
0	Вопрос к фармацевтам/врачам, продадут ли мне золомакс по такому рецепту в москве?
0	Вроде мне даже бар не подтвердили, просто я охуела с прозака, выписали нормотимики и другие ад. Еху!
1	я с флуоксетина вообще с катушек слетела и это был пипоц
1	Флуоксетин не легкая штука, но и не тяжёлая. Хорошо снимает тревожность.
0	Нож, кирпичи, сальбутамол и катана как наши талисманы бля
0	лабеталол, атенолол, бисопролол, метопролол, небиволол, эсмолол, окспренолол, пиндолол, ацебутолол, целипролол, соталол, тимолол.. s u k a
0	я когда поехал кукухой последний раз, в дурке мне неделю подряд кололи никотин, ксанакс и феназепам по вене
1	@Riot_Ko и он уменьшает объем мозга, как и оланзапин
0	1 в рюкзаке у меня всегда имеется стартер-пак на несчастный случай. его составляющие– лейкопластырь,дротаверин, лоперамид,парацетомол и капли для носа.
0	Я попробую без кветиапина. Подсказали технику. Опробую и расскажу, если получиться обойтись.
0	кстати тут довольно часто упоминают прозак сижу каждый раз ))) привет 2016 )))
0	Я за ним упаду в пропасть я за ним поднимусь в небо я за ним извини гордость я за ним одним я к нему К ПРОЗАКУ
0	Я предложил лоперамид. Мне сказали фи и обсуждали мою кровожадность и попытку убить песеля.
1	@_alekseyt @dsyabitov тогда уж лучше Лоперамид. Мягче, действует быстрее. Фталазол пока перекроет все кусты пометишь. И потом запор на 3 дня
1	И, для спокойствия, гикированный гемоглобин. Метформин в помощ, похудеть на 30 кг
0	Как думаете , лоперамид поможет моей подруге от месячных ?
0	Весь день под хвост В прямом смысле  Даже имодиум не спас  Хотя возможно, он просто стар и просрочен, я его не принимала за последние три года точно
0	Супер эффективный препарат для похудения-сибутрамин 20мг,до 12кг с 25шт! Отправка любым перевозчиком на ваш выбор!!!
1	Отменили оланзапин и весь день голова ватная。Не могу встать с кровати 。
0	Теперь мне надо пить 4 ламиктала и 2 феварина Жизнь кайф
0	— Всем салют, с вами транквилизатор, и это ксанакс-баттл. Эмси слева, представься. — Флуоксетин. — Эмси справа? — Алпразолам. — Успокоимся!  (Завтра экзамен с фармакологии, очень готовлюсь, да 😂)
0	Ну крч 24 года, давление, сердцебиение и вся эта дрисня привет, я вас ждал. Вывод: единственная вещь которая останется мне по наследству от родителей и бабушки это танометр. Слава таким такоим чуаакам как: эгилок, кардиомагнил, валидол и кордафлекс! Няпока :)
1	65. на флуоксетине я сбросила ~7 кг. вес не вернулся до сих пор. совмещала с шоколадной диетой. не советую, но результат держится
0	Может это мой аргумент чтобы мне дали немножко аддерала
1	Первый: кветиапин Северная звезда, 25мг. Доступность и цена: 9/10, действие в сравнении с оригом: 8/10, побочки в сравнении с оригом: 2/10. Ты хочешь спать и на ориге, но только на этом дженерике у тебя галюны (ты должен бороться со злом, а не стать им) и крючит (не акатизия).
0	да, спасибо, это было достаточно давно, сейчас я пью антидепры и кветиапин+взяла год перерыва между уником и школой — стресс почти пропал, и приступы сейчас бывают только на погоду
1	От Паксила вроде сорок и набрал, и либидо на нем нулевое было, да
0	Я иногда как Джастин Фолли, только без оксикодона
0	Чего его проверять? Лоперамидом закусываешь, и всё норм)))
0	Портал — антидепрессант на основе флуоксетина, объясняет Википедия
1	Такое ощущение, что это ламотриджин вывел меня из состояния деперсонализации/дереализации, в котором я находилась последнее время,  и теперь ко мне вернулась депрессия
0	интересно, как часто маркетологи Новаринга во время планерок вспоминают анекдот «из пизды хомячка»?
0	этот тред выглядит как побочка от флуоксетина
0	Качу на работку, проспала шо пиздец (спасибоньки, сероквель).  А во мне беснуются слабаки и кое-что еще (хули б нет, когда да?). Ех, люблю жизнь.
0	@leonidvolkov Основной объём(90%) по ГК Ципрофлоксацина поставлен в ЛПУ Г. Москвы в 2015 г.производства Индии(ЛП с мин. кол-вом поб. эффект)
0	Врач: АД раньше пила? Я: флуоксетин. В: ты сказала, что не была у психотерапевтов раньше. Как ты его достала? Я: жизнь раньше проще была. В: и как вообще? Я: я называла это «отъехать нервной системой в отпуск». Да, жизнь определенно была проще.
1	Остаточная расслабленность тела весьма приятна. По идее тяга от прегабалина может быть до 18 часов
0	ещё за 5 минут диалога он успел спросить, кто же меня ебёт, если у меня нет статуса об АТНАШЕНЬКАХ. хотелось написать что пароксетин (психиатры поймут), но он слишком тупой и не понял бы прикола.
0	ладно, желание умереть не пропало, но будем считать, самый пиздец просто был на фоне отмены кветиапина, которую стоило произвести, чтобы не быть овощем. думаю, мне придётся смириться с необходимостью выбора между желанием залезть в петлю и коматозом
0	Идея для комбо обеда во вспышке:   10 пышек, кленовый сироп, упаковка метформина и скорая, заказанная ко входу
0	Оксикодон, гидроморфон и метилпреднизолон Серены Уильямс дружно обыграли в теннис тоже далеко не простые триамцинолон и формотерол ее сестры
0	россия, я беру его только потому, что тут в одной аптеке есть запасы его по двести рублей пачка) врач мне на приеме тогда просто велаксин выдала.
1	@modern___myth алпразолам (но если слезешь с них, то, возможно, единственное живое, кого тебе захочется убить, будешь ты сама)   З.Ы. - а ещё на него нужно рецепт :(
0	Нашла коробку с модвигилом, флуоксетином, финлепсином и кеторолом. Прям фарм-бар, но лучше не смешивать
0	таблетки есть такие - баклофен. если много упороть то будет плохо
1	Предположительно артист умер перед своим концертом от передозировки «Ксанаксом».
1	я: /задыхаюсь/ я: /узнаю цену пульмикорта, ибо беродуал не помогает уже/ я: /задыхаюсь еще больше/
0	Как порошенко "Тамифлю" покупал.  Отвечая на вопрос,  является ли закупка препарата «Тамифлю»  личной договоренностью Порошенко с производителем,  он  сказал:  «Это правда. Мы это сделали по решению СНБО».
0	Они ж с форматеролом приехали. Сейчас эфедрин не берут для астматиков. Сальбутамол, сальметерол, форматерол, флютиказон, ипротропия бромид и так далее, но без эфедрина.
1	Под ксанаксом сим действительно успокаивается, даже слишком. Он долго тупит перед тем, как выполнить действие, потому что сильно залипает. Иногда его вообще рубит спать.
1	Ну, порошки какие-нибудь типа фервекса, промывать нос аквалором или чем-то таким,после спрей, если мешает заложенность, от горла можно доритрицин рассасывать или спреи (оралсепт вроде норм),можно противовирусные типа ингавирина/кагоцела/тамифлю, но хз, это все такое
0	Вы можете себе представить толпу санкюлотов, берущую Дом с Химерами под крики "За тамифлю! За доллар по 8! За антикоррупционные суды! Ура!
0	Всем хорош флуоксетин, кроме, сука, того, что он К ГОРЛУ ПРИЛИПАЕТ, ааа, бесит.
1	Обманчиво-приподнятое настроение из-за флуоксетина, хочется всего и сразу, но под всем этим сквозит лютая подавленность
0	дедушка мороз, подари мне мешок флуоксетина
0	Не вдаваясь в историю переписки, скажу, что я только что написала: "От ксанакса Лил Пипы дохнут".  Цитаты великих людей, хспд))
1	@shizoWizard это все тот же велафакс, я по любому буду валяться пару часов без понимания реальности
0	бля это надо штук 10 флуоксетина въебать чтобы быть таким вмазанным
0	Хотя возможно это всё 6 таблеток флуоксетина которые я за пару часов съела
0	@vta4anke @varlamov ну теоретически есть шанс, что тамифлю может помочь. а может и не помочь.
0	У меня ухудшение состояние пошло не с пароксетина, а с ламотриджина, и с его отменой лучше не становится
0	Если жрать ибупрофен и метформин  То будешь жить долга долга
0	Анальгин, лоперамид (на жкт очень влияет этот период), 30-60 минут полежать после принятия и, как ни странно, тренировки в спортзале.
1	Прозак це торговое название того же Флуоксетина. Лично мне подобные вещи только хуже делают. Усиливается депра + истерики, усиление ВСД, паник атаки и вегетативные кризы. Чесслово, лучше вообще эти сраные СИОЗС не трогать во время БАР.
1	спасибо адепрессу, циклодолу и нейролептикам за то, что я такая счастливая теперь.
1	без габапентина либо параличи либо ужасы снятся нахуй надо больше не буду пропускать не дня этих нейролептиков
0	"Флуоксетин, ужасно, там же такие злые побочки, это просто ад, держись, чувак", - говорили мне. Потом выяснялось, что граждане принимали ф.: 1. Без назначения врача 2. В огромных дозах, превышающих рекомендованные Вывод: не слушайте советчиков. Слушайте врача.
1	@tordius Очень выгодно производить пустышку  как лекарство  от простуды, которая проходит самос-но  через несколько дней. Сложно оценить эффективность.Даже тамифлю с доказан-й эффективностью от гриппа  не сокращал продолжительность болезни в сравнении с банальным парацетамолом
0	И скоро я устану повторять "не еби мне и себе мозги" и сама пойду за паксилом
1	@anubisorpheus нет, хотя по идее должна бы, просто после таблеток вроде атаракса и паксила, феназепам уже не так по мозгам бьет
0	- Вам какую дозировку Глюкофаж? - А принесите все, я её увижу и вспомню. - Вы серьёзно?🤦🏻‍♀️
0	16 часов подряд только и делаю, что нервничаю по всяким мелодраматичным пустякам. ксанакса ёбнуть, что ли?
0	Были с супругой в декабре в Сингапуре,пришлось обращаться к врачам(пищевое отравление у жены).Осмотр и консультация у врача-10000 рублей,лекарства лоперамид,уголь и смекта еще 3000 рублей.У нас всяко дешевле,и да в очереди тоже пришлось посидеть
0	К врачам я начала ездить с класса 8го. С 8го класса я каждый день на таблетках: элтироксин (теперь эутирокс) и глюкофаж (Метформин или сиофор). Первый помогает моей щитовидке нормально функционировать, второй уменьшает аппетит
0	Папаверин 1 таб/2 р в сутки, Метронидазол 1 таб/ 2 р в сутки. Лоперамид - по 4 мг стартово и по 2 мг при каждом случае срача.
0	Удар по безопасности государства )) срочно открыть аптеку на первом этаже , имодиум со скидкой
0	вы бы видели мое ебало, когда 6 таблов кофеина стоили дороже 20 таблов флуоксетина
1	на деле я наелась перед сном кветиапина и довольно неплохо себя чувствую. вроде даже есть хочется, кажется. и рисовать.
1	всё же пить пароксетин с утра было так себе идеей. продуктивность низкая, прокрастинация одолела. надо эти два дня доработать в режиме бззз.
0	А чем разница? Тамифлю вредный что ли?
1	Поняла, что никакие отхода от веществ не сравнятся с синдромом отмены пароксетина
1	третий день подряд жесткая тахикардия и головная боль вот тебе и ламотриджин
0	Она как-будто вылезла из каталога h&amp;m и чисто зашла за лоперамидом
0	когда второй день пропускаешь приём таблеток и вместо венлафаксина пьёшь алкашку
1	@_Avalanche__ вот-вот после пары таких ночей я решила купить флуоксетин(создание дьявола) спустя три недели (тк накапливается в организме) из-за неправильного приема им же и передознулась после чего стала каждый день падать в обмороки😃 итог: поставила рекорд 7 обмороков за день😎😎😎
1	Капец мне плохо такое чувство будто одышка, не хватает воздуха но я воспользовалась сальбутамолом уже дважды и  у меня такое чувство будто я буквально слышу свое сердцебиение и оно то ускоряется то замедляется Вот именно после того, как помыли кота
0	Также не рекомендовано принимать кветиапин вместе с грейпфрутовым соком.
0	Ненавижу свою жизнь. Умереть бы от ксанакса)
0	Стоит посмотреть цены на услуги психотерапевта или паксил, как понимаешь, насколько изощренно тебя ненавидит твоя страна
1	Используя в качестве модели рыбку данио-рерио, ученые обнаружили, что под формировавшиеся под действием флуоксетина рыбки теряют способность адаптироваться к новым стрессовым условиям:
