class	tweet
0	-Какие препараты используют в терапии СД2? - Метформин! - Так. Ещё - Бигуаниды. Препарат метформин - А ещё? - Я про метформин забыла сказать
0	пропустил (ну котик долбоеб) десять дней флуоксетина  то есть как это, надо есть три раза в день?..
1	А, возможно, меня всё ещё пячит с прегабалина, поэтому я не овощу, а ебашу, потому что после него у меня кокойто моторчег включается и я не могу просто тупить в экран.
1	Я: от кветиапина меня вырубает  Психиатр: увЕЛИЧИТБ ДОЗУ
0	Алеся, проси Сероквель вместо этого говна российского! Он очищенный и не дженерик! Приходов не будет!
0	Стихи и проза, мастихин и прозак.
0	Кажется я тот человек из за которого все мои друзья что то принимают вместе со мной : -Эзомепразол 2 раза в день до еды по 40 мг -Улькавис 2 раза в день по 2 таблетки  -Ранитидин по 2 таблетки на ночь  -Фосфолюгель по 1 пакету 3 раза в день -Актовегин в вену 1 раз в день
0	Я не возражаю, это помогает. Но для решения проблемы нужно прежде всего обращаться к специалистам. От паксила идут серьезные побочные эффекты. Рекомендуя тот или иной препарат "от себя" вы берете ответственность за здоровья того, кому рекомендовали.
0	Придёшь с работы, нажрешься прозака и лежишь в ванной. Так жизнь и проходит.
0	Красочные картинки во снах еще от кветиапина
0	Я ебала в регионе не нашлось НИ ОДНОЙ упаковочки льготного кветиапина для меня
0	5 секунд с тобой хуже, чем всю жизнь бэдтрипить под ксанаксом
1	Учитывая то, что мне назначили сероквель, с которого любую анобабащку распидорасит, имеет смысл вернуться к ведению дневника жранины.  К слову, с колес я выспалась как никогда, просто все дерьмо из этих семи часов выспала.
0	Ну все, ей пизда пришла. Как оказалось она не в первый раз такое делает и реально убивает поддельным ксанаксом людей. Американские фаны уже нашли ее домашний адрес и скинули его в полицию. Я надеюсь, что она получит своё
0	Диаформин ОД купить в аптеке онлайн -
1	при приеме сиофора влияеет ли на потенцию
0	Либеральная пресса, независимые сми, фактчек, кококо. Ксанаксом «лечат депрессию» и «принимают в наркотических целях», ахахаха.
0	Норвежцы идут на золотой рекорд - сальбутамолом дышат, как воздухом. У Крушельницкого отнимут маленькую зачуханную медальку, как конфетку у младенца, за что-то, не поддающееся разумному объяснению. И все в строгом соответствии с Правилами. Такая Олимпиада.
1	было дело - Амизон, Цифран, много пил тёплой воды, только так.
0	Серетид: Отдам Серетид (аэрозоль для ингаляций) запечатанный 25 мкг + 125 мкг/доза (срок до 03.2016) - 3 штуки Москва 8 903 129 80 36 Олег
0	Вот есть реклама Сеалекса, где мужик берёт его с собой и говорит "А что? А вдруг?", у меня такая история с презервативами. Никогда не пригождаются (пушо я не такая, пнятненько?), но "А что? А вдруг?"
0	Я: активненько обхожу за час 11 аптек по всему городу в поисках флуоксетина нужной дозировки.  Also я: поднять жопу и дойти до соседнего подъезда за продуктами? Извините, тяжеловато. Сами понимаете, здоровье не то.
0	О мой любимы лоперамид давно его не кушала ммм вкуснятина
0	Мы уже на примере саги имени Тамифлю видели что происходит если ЮВТ лезет в эту тему.
0	Я была твоим фанатом и до флуоксетина
0	Сравнительное действие Cтелары, Хумиры и Ремикейда на псориаз и ПА
1	@Lanik_Sky Особенно сейчас по осени вспоминается, когда симбикорт всегда рядом)  Местного действия от горла, полоскания разные, что-то в нос. Всегда консультировалась с врачом. Но оба раза токсикоз в первом триместре и в лёжку дома.Простуды были во втором триместре, а там больше разрешается
1	Я даже заплакать не могу. Спасибо, прозак.
1	я блядь просто в ахуе моей маме какая-то мразь дала флуоксетин чтобы блядь ПОХУДЕТь просто какого хуя
0	@mintmur Таблетки облегчают все симптомы аллергии, конечно, они не убирают насморк, но отек  сбавляют.   Какие ты капли в нос от аллергии пробовала? Тафен еще хорошие.   Дело в том, что у насморка при простуде и насморка аллергического разные причины и капли нацелены на разное
1	бля начинает физически пидорить от смены медикаментов и резкой отмены паксила и вообще я хотела на втором аккаунте настрочить сто твитов о том как я сейчас счастлива но мне так физически хуево что я с завтрашнего дня скорее всего не буду просыпаться и все забуду к хуям
0	Выхожу на работу только ради того, чтоб заработать деньги на флуоксетин.
0	спроси в фэйсбуке ещё может у кого есть. у меня, к сожалению, только сертралин, флуоксетин и циталопрам есть в остатках
1	На чилле улетаю в Чили @ каламбуры от Ксанакса, не переключайтесь.
1	Эй, но ведь велаксин классный. Ну если не учитывать, что от него страшно тошнит и это худший синдром отмены, ну а так он няшечка
0	Доела свою пачечку флуоксетина, а новую привезут только послезавтра. Как же все хуйово, боже :с
0	Хотя кажется, что любые а/д и н/л мною вполне адекватно переносились, кроме паксила, это был пиздец(
0	- ты директор больницы, где твое беспокойство? - в бутылочке из под ксанакса
1	КУРИШЬ ЧТОБЫ РУКИ НЕ ДРОЖАЛИ ПОТОМУ ЧТО ИЗ-ЗА ПРОЗАКА У ТЕБЯ СРАНЫЙ ТРЕМОР
0	На самом деле я уже круто себя чувствую но слезать с медсов которые я жру каждый день уже полгода просто очьково.   Мне кажется что в тот день когда я не выпью пароксетин, я открою дверь падика и сразу упаду нахуй в серотониновую яму.  А там нассано.
0	Емчи той и Ксанакса така
0	Тразодон часто используется не только как антидепрессант, но и как транквилизатор и снотворное средство. Его рассматривают как препарат, способный заменить атипичные нейролептики для купирования возбуждения и агрессии при болезни Альцгеймера.
0	Все в восторге от тебя, а ты от прегабалин!
0	"В организме актрисы Кэрри Фишер нашли героин, кокаин, метадон, алкоголь, следы морфина, кодеина, оксикодона и МДМА"  Неплохо
0	Хах, довольно безумная мысль, но 4 таблетки баклосана - это как 4 колеса машины. 4 таблетки - 100 мг вещества. 100 мг = 100 л.с.
0	"Можно ли стать умнее, принимая  аддерал?" Нож, вы там совсем поехали с такими заголовками?
0	С пароксетином ( ͡° ͜ʖ ͡°)
1	Срочное ревью: таваник самый ужасный антибиотик из тех, что я знаю, если у вас есть расстройства, не покупайте, выпил одну таблетку @ очутился в спайсовом бедаке (?), я хз даже, как это назвать, И ЭТО ХОРОШО ЕЩЁ, ЧТО Я НА СВОИХ ЛЕКАРСТВАХ, а о внутренних органах просто помолимся.
0	Беталок ЗОК - это лекарство от гипертонии, ишемической болезни сердца
0	Госпадибоженька, благослови изобретателей НоваРинга. Лучший контрацептив в моей жизни
0	Отрадно,что он-таки,похоже,лоперамид заменил.Иначе за пять часов дизентерия порезвилась бы изрядно
0	Мимо остановки,где я кормила Краснова баклофеном,мимо моста, где мы целовались впервые,мимо заправки шелл,где баклофен подействовал.
0	оксикодон лучше чем твоя прогнившая плоть         казлина
1	«я помню в Краснодаре лоперамид съел. а потом экстази. мне просто плохо было»
1	Ципрофлоксацин очень сильно давит на желудок, не принимайте его без надобности
0	закидываться ксанаксом между сдающими билеты
0	Но ничего, я прихватил с собой из спб немного баклосана, скушал 75мг и сейчас пойду покорять местные горы.
1	Ну, Феназепам вырубает хорошо, это факт. Но от тревожности алпразолам - лучшее, что я тестила. Шикарная вещь. Хотя и сон с него норм. Перед сном чуть большую дозу и збсь отруби.
1	Штош, это была максимально отвратительная ночь, еще и голова теперь болит. Будет мне уроком. Из-за этого я собирался высраться очень тяжелым текстом, но я себя пересилил. Без кветиапина очень хуево.
0	От всех моих странных и непонятных болезней у врачей одно решение: Ципрофлоксацин
1	«БАКЛОСАН ПОЛНАЯ ХУЙНЯ, КОТОРУЮ НЕЛЬЗЯ КОНТРОЛИРОВАТЬ, ОТ КОТОРОЙ ПРОТЕКАЕТ КОЛПАК, ЕСЛИ НА НЕЕ ПОДСЯДИТЕ ВЫ В ФИНАЛЕ: ОКАЖИТЕСЬ В ПСИХУШКЕ, ПУСКАЯ СЛЮНИ.., С ОРГАНИЧЕСКИМ ПОРАЖЕНИЕМ ГОЛОВНОГО МОЗГА И ВДРЫЗГ РАЪЕБАНОЙ НЕРВНОЙ СИСТЕМОЙ!!!!!»
0	@ordicyn @C0FFIN4Y0U @LustHoly Пароксетин - это действующее вещество так-то
1	итого: я заболела, с месячными и без кветиапина. завтра нужно по делам. мне _пизда_
0	ага, я ошибся: спутал с Флуоксетином, который был по 250. Конечно, Триттико больше 600 стоит.
1	А паксил разве помогает от мрачных мыслей? По-моему, от него только тошнит и болит голова.
1	@Jas_Jase Да психотерапевт!  Паксил антидепры, начиталась отзывов- от него все толстеют и становятся овощем фригидным  Боюсь пить
1	какая разница из-за чего покончить с собой: из-за депрессии, или предлагаемо набранных 20 кг от сероквеля?
0	@akmalova71 Да, цитрамон- в последние дни голова часто болит. Вторая Эутирокс
0	Ем ципролет Надеюсь, десна спадёт до завтра хоть немного. Мне идти в гимназию, сегодня тётя звонила. #EXOL #iHeartAwards #BestFanArmy @weareoneEXO
1	Подозреваю, что на венлафаксине вес набрать трудно. Чуть переешь - тошнит.
0	Кароч пацаны, эмиграция — это не два пальца обоссать, и если вдруг надумаете, советую в России купить побольше флуоксетина без рецепта.
0	ага, где ривароксабан побеждает по всем пунктам, особен среди коморбидных лиц.
0	- Где твои переживания?! - В пузырьке ксанакса.
0	ну что у меня есть куча времени и три упаковки ксанакса.
0	если я неожиданно умру, то история моих запросов в поисковике:фентанил, оксикадон, "белый китаец", изнасилование несовершеннолетних в америке, в россии, ксанакс, цисгендер, фембой. это всё из-за сериала "Эйфория"
1	мама не купила то  что я просила по причине ей лень и теперь я лежу задыхаюсь без сальбутамола 👍👍👍👍😋
0	Почему Lil Xan передознулся чипсами, а не ксанаксом?
0	3 дня🙋👣👣👣 ползу из последних сил - на антибиотиках диклофенаке и удвоенном паксиле. удивительно - никто на работке ни ухом, ни рылом о моём уходе, невзирая на намёки
0	Блин, я даже медицинские сериальчики не могу нормально сейчас смотреть Когда говорят про атропин, а я ставлю на паузу, открываю РЛС, смотрю фармакокинетику, показания, противопоказания и побочку Или когда они сказали: "назначим бета-блокаторы, метопролол" И я просто АААААААААААА
1	2 капсулы флуоксетина зрачки опять за орбитой просто какого??? 7?
0	Люмбальная пункция и первый тест с баклофеном
1	У меня от пароксетина аноргазмия)
0	@Alkhimovich_A @zoenjka сейчас он живёт в рекламе сеалекса
1	Разумеется, я пью эзомепразол на постоянной основе, от ГПОД. Но не помогло( Нимесил все равно повлиял негативно
0	@lizunsosun Попей бакласан(баклофен)  на ночь, снимит спазм.
0	@big_pisun @forscient И для полного счастья ещё полгода левофлоксацина для сухожилий 😏😁
1	ципролет и за 4 дня всё проходит. если горло, то фурацилин. а ломка это просто симптом, ничего не поделаешь. не умирай, Ань.
1	лрт а на самом деле в чем прикол флуоксетина я один раз выпила таблетку пошла на улицу и чуть не уснула
1	Я прогулял физру, я обожрался ксанакса На алгебре сижу и ем вагину одноклассницы Пока ты в интернете пишешь то, что мы не справимся Я на последней парте даю в рот Кате без палева
1	Объёбаный от ксанакса лежу на заднем сиденье
1	Я не понимала почему меня постоянно тошнит, а потом вспомнила что я снова пью метформин
1	@moon_out @Zverovski рексетин курсом ебошить надо и он рецептурный, перед его приёмом надо к психиатру сходить. да, и он больше эйфорических ощущений принесёт, а не успокоения, обратный же захват серотонина, вся хурма.
1	походу лоперамид сломал мой желудок к хуям
0	Второй день подряд так стремительно просыпаюсь и собираюсь, что даже забываю принять прозак с утра. Хм.
1	Путешествие закончилось одновременно с паксилом 😑Надеюсь, я куплю новую пачку до того, как мозг осознает, что а) вокруг снова серо и холодно; б) нового захвата серотонина не произошло 🌚
0	нельзя пить адепресс если у вас гребаная нервозность потому что вы словите ебучую паническую атаку а к ней диарею и тошноту блять проверено
0	тока что назвал кетилепт неприятным сказал что мне и приходы не нравятся и ваще слезть хочу
0	@LinaPotapova Паксил лучше всего лечит тревожные депрессии и генерализированное трвожное расстройство
0	сальбутамол аэрозоль или эуфиллин таблетки, если удушье мучит. а если ты тупо неуверена в себе - дуй в народ и знакомься там.
0	тамифлю очень токсичный, даже в аптеке сказали не пить его, если прям чрезвычайной нужды нет
0	нет у меня. во мне 6мг феназепама и 4мг ксанакса еще попутно
1	выпила утром паксил и теперь буду весь день думать о том как не блевануть на пациентов и вам доброго утречка!
0	@mr___coots Так вы же таблетки пьете. Откуда?   Слышал надо еще ксанаксом догоняться (нет)
1	проснулась сегодня с низким давлением, опять все мышцы напряжены и тошнит ужасно. и тут я вспомнила почему я бросила паксил.
1	можно, конечно, но бензодиазепины и кветиапин меня по крайней мере вырубят
0	ебаный в рот где сальбутамол
1	У меня от метформина такие газы что я весь спортзал пропердел :(
0	доугое дело, что лоперамид СЕЛЕКТИВНО действует на опиатные рецепторы ЖКТ.Но у него это основное действие
0	люблю говорить "а что а вдруг" интонацией того мужика из рекламы сеалекса
0	Тамифлю. Больше лекарств с доказанным антигриппозным действием на российском рынке нет
1	пришлось смешать флуоксетин с фенибутом = выпала из реальности
1	сижу на работе, просто на ровном месте начинаю задыхаться, пшикаю сальбутамолом, не помогает, от этого начинается паника и я начинаю еще больше задыхаться. мне пизда!
0	Сегодня не забыл принять паксил - и прям ХОРОШО
0	@henriettulp я так в прошлом году этаперазин ебашила но он совсем мелкий и в этом ламиктал но он плоский и прям хорошо ломается ваще феварин самый лучший в этом плане у него даже в письке на 50 мг есть прям линия по которой можно руками разломать
1	Омг, у одной клиентки моего психотерапевта голова раскалывается от флуоксетина
0	@kurdyukov_espru А что за новости про сальбутамол в пробах Фрума?
0	Ну, если без анализов, то я ставлю себе диагноз и выписываю лекарства даже без участия врача. Правда зверобой, пустырник всякий, а не прозак.
0	— Давай я не буду спрашивать, почему ты в первую очередь вспомнила про антидепрессант Селектра, а ты, почему я вспомнил про Сеалекс.
0	блин я не могу жрать метформин утром и вечером потому что Я НИХУЯ НЕ ЕМ НИ УТРОМ НИ ВЕЧЕРОМ а если жрать его без еды жкт пошлёт на хуй
0	Хуй вы что сделаете. Так что воевать - айфонами можете. Ну и пакостить на Олимпиадах. Это все, на что вы, способны. Нация прозака, блин.
1	Одна из историй моей жизни: решила я однажды таблеток наглотаться (истерила, рыдала задыхаясь и всякое такое), но тут мой мозг вспомнил момент из фильма, где девочка пыталась покончить с собой с помощью имодиума. А главный герой ржал, что она в туалет год не сможет ходить
0	У меня увеличенная дозировка ад, клоназепам четветинка, эглонил и баклосан. Запито пивом.  Потом ещё пиво, виски и ешки.  Весёлые деньки (нет)
0	@Germesiya Ноль. Один ингалятор и всё. У крутых пацанов это венталин, у неудачников — сальбутамол.
0	Да за гребаным флуоксетином что весь город гоняется?! Я обзвонила 20! 20 Карл!! Аптек!! Нашла в одной последнюю пачку, попросила отложить на два часа, сраная фармацевт начала залупаться, ну вот вы приходите, сначала посмотрим ваш рецепт, ко-ко-ко. В итоге, прибегаю в эту
0	ЛУЧШЕЕ СОЧЕТАНИЕ ЛЕКАРСТВ ЭТО ФЕВАРИН И ПАКСИЛ. Хотя наверное дозировку нудно снизить и брать только одну паксила, а не две  Чеееерт, я хоть и поверхностно, но чувствую себя на «нормально», а если подумать, то мне вообще «лучше всех»
0	Прости дорогой, твоя жизнь - это флуоксетин и фенозепам
1	въебала в пять утра перед сном 200 мг кветиапина и вот уже три часа дня, я не очень давно таки выволокла себя из теплой кроватки, все утро шел дождь, я пару раз просыпалась, но потом засыпала обратно. охуенно. чувствую себя плюшевоватной, но отдохнувшей.
0	это сумка с большой таблеткой антидепрессанта Прозак
0	Ципрофлоксацин - это убойная вещь!😎#Больничка
0	@katerinafli Минус на минус? Хотя в ситуации с ксанаксом и ванной, это скорее два плюса?
1	@tataustini если переборщить с ксанаксом, то можно «словить» кайф паша техник в этом шарит (репер такой есть)
0	мудила закинул ксанакса и запил сиропом
0	Самое прекрасное в этом паблике что его ведёт щекастый парень. Очень нравится что какой-то жмых на похуй выкладывает посты в стиле «еда не👎 голодовка во👍», даёт жЕнСкиЕ советы, да там и флуоксетин продают, зато блин рекламка)))))))
0	Никуда ее не водил. Потом пришлось ей флуоксетин пить курсом, чтоб слезть с него. Но кормил её им обычно я, хехе
1	@alonsokexano Пойти к психиатру и сказать, что чот мне не очень, но есть объективные причины, что делать? У тебя не Паксил был, случайно? А то с них ещё слезать надо медленно и печально, сокращая до 1/4, иначе может ломать.
1	Сертралин это всё-таки новое поколение сиозс, пароксетин и флуоксетин это пиздец какое дно при тдр. У меня тупо начинается вегетативный криз с него и панические атаки лютые на ровном месте. Даже с одной капсулы в минималке.
0	Спокойной ночи мне и моим 800мг кветиапина
0	а может быть и ксанакс найду
0	@_NESTEROVICH я ж сказала паксил хуета
1	я триттико пью, он нетипичный и повышает либидо хихи :D тоже СИОЗС больше не выписывают
1	Никогда не принимайте АД #Пароксетин  От него вас так разнесёт, шо пиздец   Единственный плюс - это гордиться потом, что похудел на 15 кг  Ну или не похудел 😬🤷🏼‍♀️
0	Настроение: посреди всей этой блистательной роскоши и явственного благополучия от него отдавало отчаянием человека, который всерьез дружен только не то с бокалом, не то с ксанаксом.
1	однако спасибо метформину -4 кг йухуууу уже можно спокойно жрать на нг
0	«Даже безобидный перекус может привести к поносу» Имодиум
1	я приняла тогда 1табл.метопролола,полтаблетки веропомила.У меня начался сердечный приступ(у меня порок сердца,надо индивидуально подб.лек-ва
0	@lavlality О, типичный ответ))) вопрос закрыт. Не надо пропагандировать хуйню🤬. Если вы не можете не истерить, а объяснить, спокойно и рассудительно, кого что ждёт от приема « недлительного» чудодейственных колёс! Ксанакс не предлагаете пожрать? Нация прозака - не помните.. Морфеус хренов
0	слишком много ксанакса в ленте
1	Периодически юзаю паксил + атаракс. Первые три дня приёма спишь постоянно. Ну и эффект антиеботиков 100%. А так все ок всегда. Даже был случай, когда выходила резко, но все относительно безболезненно прошло.
0	У меня свой бизнес, сайт, где люди находят китайских поставщиков.   - А че тут у тебя за объявления, про мдма, ксанакс, мет и кодеин?  Ой, я не видел, сейчас удалю, спасибо.
0	Наконец-то дома, ура! Выписали диагнозы в справку для военкома и рецепт на таблетки(пароксетин), нормально Кстати, первым делом сев за пк заметил какой у меня ахуенный тремор рук, точнее левой руки(?) ну да ладно.
0	Кстати, а ксанакс считается допингом?
1	Назначали алпразолам, превращалась в довольного овоща, думала НУ ЗАЧЕМ ТАК, но одновременно на все тааак чудесно пофиг, что немного страшно.  Оказалось, что ксанакс и есть алпразолам, я модная. Бгг.
0	а у вас не будет сигареты? а вы идёте на пасош? я 10 лет употребляю наркотики будем кричать баклофен и найдёмся ГРУСТНО
1	я перестала пить фенибут и перестала спать. это ещё цветочки, к весне психиатр снимет меня с ламотриджина и ад, наверное, можно уже натирать веревку мылом
0	Сейчас спасаюсь баклофеном, напроксеном и бупренорфином.
0	Постоянно все в прямом смысле обсираются перед собственными девушками на первом (и последнем) свидании. Блин, да купите себе имодиум
1	@FeelinaZ А ксанакс имеет моментальный эффект? Я ещё злюсь, что тот же феназепам не сразу помогает, эффект через несколько часов, когда уже не надо (а ещё хуже когда на работе накрывает, и хер ты что с этим сделаешь) Ну а в целом, лучше, когда хуево, перебрать с АД, чем повеситься))0)
1	Я, кстати дозировку до 200 у сероквеля снизила. С 450. Ну, пока вроде просто чуть более раскованно чувствую. И то может просто на хороший секс наложилось.
1	@juliamayko Это не нервы, а слабость от антибиотиков( Правильно Лорик их не употребляет) Чета этот Ципролет жутко токсичный оказался((
0	Ну вот мне прозак назначили недавно, но это и до него было. Поеду в след раз - спрошу. Они там все от меня уже устали
0	а ты без рецепта пробовала что-нибудь брать? Думаю уже наесться каким-нибудь прозаком
0	Впервые за долгое время у иеня сальбутамол в кармане
0	что ты будешь делать когда прийдется покупать максигру
0	С ксанаксом жить было проще.
0	эт прям наименование производителя и отношение ко всему, пока ты на флуоксетине, в одном флаконе
1	Баклосан - это зло. Особенно отходняки с него. По возможности старайтесь избегать упарывания баклосаном.
0	На фоне всех этих эмоциональных скачков пытаюсь вспомнить, выпила ли я сегодня хоть 100 мг ламиктала.
0	Хотя периодически это нарушается самими докторами. Мне в ПНД так кветиапин (обычный, не пролонг) делили, например.
0	Вальковский Владислав, 6 лет.  Диагноз :Опухоль головного мозга, с метастатическим поражением спинного мозга.   жизненонеобходимогопрепарата Талидомид.  Он стоит 30 000 руб.   Помогите пожалуйста. Банковские данные :Вальковская Раиса 4276760097154171,сбербанк тел:8 981 807-91-71
0	он дед из рекламы сеалекса
0	и есть ли смысл принимать ламиктал если мне он перестал помогать
1	Вот хочу с вами поделиться. Я в том году сидела на диетах. Могла спокойно отсидеть два месяца голода, но как мне быть теперь? Из-за бисака и флуоксетина я посадила мочевой и желудок.Все бы ничего, я могла так же сидеть на голоде но нет.
